Item,Marca,Precio,Categoria,Web,class_inei,codigo,genero
zapatos de tacón grueso para mujer,tiozoney,179.0,zapatos casuales mujer,falabella,ZAPATOS (MUJER > 14),321030121,mujer
pantalon jean strech ,generico,79.9,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
casaca de hombre damian,nancy's collection,119.0,moda hombre,falabella,"CASACA, CHAQUETA, GUERRERA (HOMBRE > 14)",312010132,hombre
balerinas muirne para dama   vino,generico,129.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
casaca jean hera unisex ,generico,149.9,moda mujer,falabella,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,sin genero
mocasin vratsa     dorado,nebula,101.94,mocasines,falabella,ZAPATOS (MUJER > 14),321030121,mujer
corset portaligas lenceria,generico,89.9,calzones,falabella,ROPA INTERIOR (MUJER > 14),312020172,mujer
zapatillas urbanas mujer santa barbara,hoff,599.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
zapatillas para niño  marino    ,molekinho,89.94,zapatos niño,falabella,ZAPATILLAS (NIÑO DE 3 A 13),321020303,niño
zapatillas urbanas suprime  claro hombre,north star,83.93,zapatos,falabella,ZAPATILLAS (MUJER > 14),321030303,hombre
botin casual de cuero para mujer parss  ,par&ss,187.8,botines mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
casaca mujer,peace and love,99.0,moda mujer,falabella,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,mujer
bota mujer west 21  casual,chalada,249.9,botas de mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
calzado deportivo informal calzado deportivo de moda para hombre,danweile,189.0,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
zapatillas urbanas niño skechers meteor lights,skechers,149.0,zapatos niño,falabella,ZAPATILLAS (NIÑO DE 3 A 13),321020303,niño
short con pinzas y lazo para niña   kids mahmelo,kids mashmelo,59.0,ropa de niñas,falabella,PANTALÓN (NIÑA DE 3 A 13),312040137,niña
tennis mujer roland 24  ,joma,430.0,zapatillas deportivas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
zapatillas running hombre  electron e pro,puma,329.9,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
chompa mujer hilo torquel trasluce  20  ,generico,39.0,moda mujer,falabella,CHOMPA / SUÉTER (MUJER > 14),312020117,mujer
zapatillas urbanas as core rosado,converse,179.9,zapatos niña,falabella,ZAPATILLAS (NIÑA DE 3 A 13),321040303,niña
chaqueta de pu para mujer marrón,blwoens,289.0,moda mujer,falabella,"CASACA, CHAQUETA, GUERRERA (MUJER > 14)",312020114,mujer
polera sin capucha peru carnaval,nacional,90.0,moda hombre,falabella,POLERA / SUDADERA (HOMBRE > 14),312010158,hombre
polo  de verano pack   6 unidades,generico,124.9,moda mujer,falabella,POLO (HOMBRE > 14),312010160,mujer
pijama baby yoda disfraz onesie unisex   tallas 4 al 14,generico,124.9,ropa de niñas,falabella,NO CLASIFICACIÓN,0,sin genero
 conjunto scrub corazón    vino,twelve,135.0,moda mujer,falabella,NO CLASIFICACIÓN,0,mujer
pantalon denim stretch mujer ainarah,pionier,189.0,moda mujer,falabella,PANTALÓN (MUJER > 14),312020137,mujer
polo reductor formador y  ultracompresión ginecomastia,oem,65.0,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
zapatilla negra mujer ,gotta,199.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
zapatos niños fja  22 26 dellen,footloose,84.0,zapatos niño,falabella,ZAPATOS ESCOLARES (NIÑO DE 3 A 13),321020118,niño
zapatillas urbanas mujer palermo wns,puma,379.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
zapatillas urbanas hombre corbainÂ  ,call it spring,169.9,zapatos,falabella,ZAPATOS (HOMBRE >14),321010121,hombre
camisa hombre original button up slim fit ,dockers,137.0,moda hombre,falabella,CAMISA (HOMBRE > 14),312010124,hombre
dclaude collection by desireÃ£   blusa mujer macarena   coral y perla,dclaude collection by desiree ruiz,21.9,moda mujer,falabella,BLUSA (MUJER > 14),312020106,mujer
sandalia mujer camila cuero planta pu no pesa 015l 58 hueso,generico,99.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
botin para dama 11455c 70 emilia rotter ,generico,200.0,sandalias mujeres,falabella,SANDALIAS (MUJER > 14),321030115,mujer
zapatillas urbana mujer ,shandian,199.0,zapatillas deportivas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
gorro snap back unisex,umbro,35.0,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,sin genero
traje de baño de mujer de esquina plana tirantes cruzados,zimrahyg,53.0,moda mujer,falabella,NO CLASIFICACIÓN,0,mujer
zapatilla hombre sb chron 2    ,nike,318.0,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
zapatillas courtflex v2 v ps  25 rosado para niña,puma,135.0,zapatos niña,falabella,ZAPATILLAS (NIÑA DE 3 A 13),321040303,niña
corrector de postura imantado inpesi no más joroba,generico,45.9,fajas y modeladores,falabella,NO CLASIFICACIÓN,0,mujer
vestido de niña ideal para fiesta,generico,191.9,ropa de niñas,falabella,NO CLASIFICACIÓN,0,niña
zapatilla revolution 7  ,nike,279.0,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,mujer
medias largas con diseño de donas ,generico,20.0,medias,falabella,CALCETINES (HOMBRE > 14),312010119,mujer
zapatillas urbanas hombre electron e,puma,219.9,zapatos,falabella,ZAPATILLAS (HOMBRE >14),321010303,hombre
correa unifaz gardenia de cuero para mujer pasador hexagonal,velez,174.3,correas,falabella,NO CLASIFICACIÓN,0,mujer
zapatillas dama  ,sthef,249.0,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
vestido elegante con lazo y mangas abullonadas,moda by athena,95.0,ropa de niñas,falabella,NO CLASIFICACIÓN,0,niña
zapatilla moldavia   acero,nebula,101.94,zapatillas urbanas mujer,falabella,ZAPATILLAS (MUJER > 14),321030303,mujer
polo camisero tipo pique dorado ,aeropostale,129.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
polo navideño ,bernoulli,70.0,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
botines mujeres flk  35 39 venecia pu,footloose,168.0,botines mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
gorro chicago bulls nba 9fifty ,new era,159.9,gorros y sombreros,falabella,NO CLASIFICACIÓN,0,mujer
bóxer corto elástico visible ,boston,21.9,ropa interior y pijamas,falabella,ROPA INTERIOR (HOMBRE > 14),312010171,mujer
vestido largo de verano palma con diseño exclusivo   talla ,kast pe,109.9,moda mujer,falabella,VESTIDO PARA OCASIONES ESPECIALES (MUJER > 14),312020165,mujer
polo manga corta henley el sofisticado   olivo,rising dragon,75.65,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
zapatillas urbanas niño mickey ,mickey mouse,139.9,zapatos niño,falabella,ZAPATILLAS (NIÑO DE 3 A 13),321020303,niño
polo anime jujutsu kaisen   kento nanami,generico,44.9,moda hombre,falabella,POLO (HOMBRE > 14),312010160,hombre
vestido pepa para niña,generico,99.9,ropa de niñas,falabella,"POLO (INCLUYE TIPO BIBIDI, TOPS, ETC.) (NIÑA DE 3 A 13)",312040142,niña
botines  ,sthef,153.0,botines mujer,falabella,BOTAS (MUJER > 14),321030106,mujer
